19.12.2019;02:24:39;30;0;0
19.12.2019;02:25:09;30;0;0
19.12.2019;02:25:39;30;0;0
19.12.2019;02:26:09;30;0;0
19.12.2019;02:26:39;30;0;0
19.12.2019;02:27:09;30;0;0
19.12.2019;02:27:39;30;0;0
19.12.2019;02:28:09;30;0;0
19.12.2019;02:28:39;30;0;0
19.12.2019;02:29:09;30;0;0
19.12.2019;02:29:39;30;0;0
19.12.2019;02:30:09;30;0;0
19.12.2019;02:30:39;30;0;0
19.12.2019;02:31:09;30;0;0
19.12.2019;02:31:39;30;0;0
19.12.2019;02:32:09;30;0;0
19.12.2019;02:32:39;30;0;0
19.12.2019;02:33:09;30;0;0
19.12.2019;02:33:39;30;0;0
19.12.2019;02:34:09;30;0;0
19.12.2019;02:34:39;30;0;0
19.12.2019;02:35:09;30;0;0
19.12.2019;02:35:39;30;0;0
19.12.2019;02:36:09;30;0;0
19.12.2019;02:36:39;30;0;0
19.12.2019;02:37:09;30;0;0
19.12.2019;02:37:39;30;0;0
19.12.2019;02:38:09;30;0;0
19.12.2019;02:38:39;30;0;0
19.12.2019;02:39:09;30;0;0
19.12.2019;02:39:39;30;0;0
19.12.2019;02:40:09;30;0;0
19.12.2019;02:40:39;30;0;0
19.12.2019;02:41:09;30;0;0
19.12.2019;02:41:39;30;0;0
19.12.2019;02:42:09;30;0;0
19.12.2019;02:42:39;30;0;0
19.12.2019;02:43:09;30;0;0
19.12.2019;02:43:39;30;0;0
19.12.2019;02:44:09;30;0;0
19.12.2019;02:44:39;30;0;0
19.12.2019;02:45:09;30;0;0
19.12.2019;02:45:39;30;0;0
19.12.2019;02:46:09;30;0;0
